alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,-1.0,0.081092,0.0,0.880967,0.0,0.0,2026-02-13T07:25:24
matmul,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,500,4,4,1,0.162218,0.128088,0.033485,0.035074,0.435661,0.0,0.022902,2026-06-04T09:23:34
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,-1.0,0.048218,0.096437,0.913389,0.0,0.0,2026-02-13T07:29:22
matmul1gen,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,500,32,1,1,0.0,-1.0,0.05759,0.0,0.240666,0.0,0.0,2025-10-05T12:15:30
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,-1.0,0.635095,0.0,1.266754,0.0,0.0,2026-02-13T07:27:00
matmul1gen,cpp,perlmutter-cpu,128,512,64,50000,50000,50000,5000,512,1,1,0.0,-1.0,0.465014,0.0,0.227372,0.0,0.0,2025-08-10T20:37:56
matmul1gen,cpp,perlmutter-gpu-cpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,0.763319,0.0,3.255307,0.0,0.0,2026-02-16T00:53:05
matmul1gen,cpp,perlmutter-cpu,2,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.468752,0.0,4.276899,0.0,0.0,2025-06-25T14:09:39
matmul1gen,cpp,perlmutter-gpu-cpu,256,4096,8,1000000,1000000,1000000,1000,4096,1,1,0.0,-1.0,2.522512,0.0,5.78644,0.0,0.0,2026-02-13T06:20:00
matmul1comm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,500,128,1,1,0.0,-1.0,0.041998,0.222,0.059504,0.0,0.0,2026-02-14T20:48:20
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,500,512,1,1,0.0,-1.0,0.139764,0.0,0.057705,0.0,0.0,2026-02-13T07:49:09
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,8,8,1,0.042588,0.032678,0.022546,0.050265,1.067347,0.0,0.091601,2026-06-04T09:30:17
matmul1gen,cpp,perlmutter-gpu-cpu,128,2048,8,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,2.489291,0.0,11.148335,0.0,0.0,2026-02-13T06:55:01
matmul1comm,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,5000,4,1,1,0.0,-1.0,0.075248,0.487482,17.463232,0.0,0.0,2026-02-14T20:57:06
matmul,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,500,8,8,2,0.056764,0.016951,0.018194,0.009678,0.104254,0.0,0.035648,2026-06-04T09:34:16
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,8,8,1,0.042207,0.034,0.153477,0.092776,1.084042,0.0,0.088348,2026-06-04T09:29:14
matmul1gen,cpp,perlmutter-gpu-cpu,192,768,32,1000000,1000000,1000000,1000,768,1,1,0.0,-1.0,0.666364,0.0,7.441591,0.0,0.0,2026-02-14T21:01:15
